,global_entity_id,orders,threshold,performance_metric,value
26,FP_BD,2,0.5,accuracy,0.75
428,FP_BD,2,0.5,f1_score,0.02
830,FP_BD,2,0.5,precision_recall_auc,0.33
128,FP_BD,3,0.5,accuracy,0.72
530,FP_BD,3,0.5,f1_score,0.04
932,FP_BD,3,0.5,precision_recall_auc,0.43
325,FP_BD,4,0.5,accuracy,0.75
727,FP_BD,4,0.5,f1_score,0.07
1129,FP_BD,4,0.5,precision_recall_auc,0.49
4,FP_HK,2,0.3,accuracy,0.37
406,FP_HK,2,0.3,f1_score,0.53
808,FP_HK,2,0.3,precision_recall_auc,0.68
103,FP_HK,3,0.3,accuracy,0.42
505,FP_HK,3,0.3,f1_score,0.47
907,FP_HK,3,0.3,precision_recall_auc,0.6
299,FP_HK,4,0.3,accuracy,0.44
701,FP_HK,4,0.3,f1_score,0.5
1103,FP_HK,4,0.3,precision_recall_auc,0.62
207,FP_HK,1,0.5,accuracy,0.57
609,FP_HK,1,0.5,f1_score,0.12
1011,FP_HK,1,0.5,precision_recall_auc,0.48
5,FP_HK,2,0.5,accuracy,0.62
407,FP_HK,2,0.5,f1_score,0.29
809,FP_HK,2,0.5,precision_recall_auc,0.48
104,FP_HK,3,0.5,accuracy,0.65
506,FP_HK,3,0.5,f1_score,0.29
908,FP_HK,3,0.5,precision_recall_auc,0.44
300,FP_HK,4,0.5,accuracy,0.7
702,FP_HK,4,0.5,f1_score,0.36
1104,FP_HK,4,0.5,precision_recall_auc,0.54
208,FP_HK,1,0.7,accuracy,0.57
610,FP_HK,1,0.7,f1_score,0.0
1012,FP_HK,1,0.7,precision_recall_auc,0.21
6,FP_HK,2,0.7,accuracy,0.63
408,FP_HK,2,0.7,f1_score,0.01
810,FP_HK,2,0.7,precision_recall_auc,0.24
105,FP_HK,3,0.7,accuracy,0.68
507,FP_HK,3,0.7,f1_score,0.02
909,FP_HK,3,0.7,precision_recall_auc,0.33
301,FP_HK,4,0.7,accuracy,0.67
703,FP_HK,4,0.7,f1_score,0.01
1105,FP_HK,4,0.7,precision_recall_auc,0.26
215,FP_KH,1,0.3,accuracy,0.58
617,FP_KH,1,0.3,f1_score,0.37
1019,FP_KH,1,0.3,precision_recall_auc,0.59
14,FP_KH,2,0.3,accuracy,0.62
416,FP_KH,2,0.3,f1_score,0.44
818,FP_KH,2,0.3,precision_recall_auc,0.59
114,FP_KH,3,0.3,accuracy,0.63
516,FP_KH,3,0.3,f1_score,0.43
918,FP_KH,3,0.3,precision_recall_auc,0.59
309,FP_KH,4,0.3,accuracy,0.66
711,FP_KH,4,0.3,f1_score,0.45
1113,FP_KH,4,0.3,precision_recall_auc,0.53
216,FP_KH,1,0.5,accuracy,0.56
618,FP_KH,1,0.5,f1_score,0.14
1020,FP_KH,1,0.5,precision_recall_auc,0.57
15,FP_KH,2,0.5,accuracy,0.62
417,FP_KH,2,0.5,f1_score,0.26
819,FP_KH,2,0.5,precision_recall_auc,0.58
115,FP_KH,3,0.5,accuracy,0.63
517,FP_KH,3,0.5,f1_score,0.26
919,FP_KH,3,0.5,precision_recall_auc,0.6
310,FP_KH,4,0.5,accuracy,0.72
712,FP_KH,4,0.5,f1_score,0.39
1114,FP_KH,4,0.5,precision_recall_auc,0.54
217,FP_KH,1,0.7,accuracy,0.54
619,FP_KH,1,0.7,f1_score,0.0
1021,FP_KH,1,0.7,precision_recall_auc,0.23
311,FP_KH,4,0.7,accuracy,0.69
713,FP_KH,4,0.7,f1_score,0.02
1115,FP_KH,4,0.7,precision_recall_auc,0.41
204,FP_LA,1,0.3,accuracy,0.62
606,FP_LA,1,0.3,f1_score,0.76
1008,FP_LA,1,0.3,precision_recall_auc,0.8
0,FP_LA,2,0.3,accuracy,0.56
402,FP_LA,2,0.3,f1_score,0.71
804,FP_LA,2,0.3,precision_recall_auc,0.77
97,FP_LA,3,0.3,accuracy,0.45
499,FP_LA,3,0.3,f1_score,0.56
901,FP_LA,3,0.3,precision_recall_auc,0.67
293,FP_LA,4,0.3,accuracy,0.56
695,FP_LA,4,0.3,f1_score,0.58
1097,FP_LA,4,0.3,precision_recall_auc,0.66
205,FP_LA,1,0.5,accuracy,0.52
607,FP_LA,1,0.5,f1_score,0.31
1009,FP_LA,1,0.5,precision_recall_auc,0.83
1,FP_LA,2,0.5,accuracy,0.54
403,FP_LA,2,0.5,f1_score,0.43
805,FP_LA,2,0.5,precision_recall_auc,0.68
98,FP_LA,3,0.5,accuracy,0.61
500,FP_LA,3,0.5,f1_score,0.4
902,FP_LA,3,0.5,precision_recall_auc,0.59
294,FP_LA,4,0.5,accuracy,0.56
696,FP_LA,4,0.5,f1_score,0.28
1098,FP_LA,4,0.5,precision_recall_auc,0.5
99,FP_LA,3,0.7,accuracy,0.56
501,FP_LA,3,0.7,f1_score,0.0
903,FP_LA,3,0.7,precision_recall_auc,0.21
295,FP_LA,4,0.7,accuracy,0.58
697,FP_LA,4,0.7,f1_score,0.03
1099,FP_LA,4,0.7,precision_recall_auc,0.47
237,FP_MM,1,0.3,accuracy,0.49
639,FP_MM,1,0.3,f1_score,0.6
1041,FP_MM,1,0.3,precision_recall_auc,0.69
37,FP_MM,2,0.3,accuracy,0.55
439,FP_MM,2,0.3,f1_score,0.64
841,FP_MM,2,0.3,precision_recall_auc,0.73
139,FP_MM,3,0.3,accuracy,0.58
541,FP_MM,3,0.3,f1_score,0.57
943,FP_MM,3,0.3,precision_recall_auc,0.65
338,FP_MM,4,0.3,accuracy,0.58
740,FP_MM,4,0.3,f1_score,0.51
1142,FP_MM,4,0.3,precision_recall_auc,0.59
238,FP_MM,1,0.5,accuracy,0.59
640,FP_MM,1,0.5,f1_score,0.12
1042,FP_MM,1,0.5,precision_recall_auc,0.46
38,FP_MM,2,0.5,accuracy,0.61
440,FP_MM,2,0.5,f1_score,0.29
842,FP_MM,2,0.5,precision_recall_auc,0.57
140,FP_MM,3,0.5,accuracy,0.67
542,FP_MM,3,0.5,f1_score,0.4
944,FP_MM,3,0.5,precision_recall_auc,0.67
339,FP_MM,4,0.5,accuracy,0.67
741,FP_MM,4,0.5,f1_score,0.25
1143,FP_MM,4,0.5,precision_recall_auc,0.55
39,FP_MM,2,0.7,accuracy,0.58
441,FP_MM,2,0.7,f1_score,0.01
843,FP_MM,2,0.7,precision_recall_auc,0.71
141,FP_MM,3,0.7,accuracy,0.6
543,FP_MM,3,0.7,f1_score,0.01
945,FP_MM,3,0.7,precision_recall_auc,0.45
340,FP_MM,4,0.7,accuracy,0.65
742,FP_MM,4,0.7,f1_score,0.02
1144,FP_MM,4,0.7,precision_recall_auc,0.68
232,FP_MY,1,0.5,accuracy,0.59
634,FP_MY,1,0.5,f1_score,0.13
1036,FP_MY,1,0.5,precision_recall_auc,0.47
32,FP_MY,2,0.5,accuracy,0.65
434,FP_MY,2,0.5,f1_score,0.28
836,FP_MY,2,0.5,precision_recall_auc,0.54
134,FP_MY,3,0.5,accuracy,0.67
536,FP_MY,3,0.5,f1_score,0.33
938,FP_MY,3,0.5,precision_recall_auc,0.56
333,FP_MY,4,0.5,accuracy,0.69
735,FP_MY,4,0.5,f1_score,0.31
1137,FP_MY,4,0.5,precision_recall_auc,0.56
222,FP_PH,1,0.3,accuracy,0.37
624,FP_PH,1,0.3,f1_score,0.51
1026,FP_PH,1,0.3,precision_recall_auc,0.67
20,FP_PH,2,0.3,accuracy,0.34
422,FP_PH,2,0.3,f1_score,0.48
824,FP_PH,2,0.3,precision_recall_auc,0.65
122,FP_PH,3,0.3,accuracy,0.51
524,FP_PH,3,0.3,f1_score,0.49
926,FP_PH,3,0.3,precision_recall_auc,0.6
318,FP_PH,4,0.3,accuracy,0.53
720,FP_PH,4,0.3,f1_score,0.46
1122,FP_PH,4,0.3,precision_recall_auc,0.56
223,FP_PH,1,0.5,accuracy,0.67
625,FP_PH,1,0.5,f1_score,0.11
1027,FP_PH,1,0.5,precision_recall_auc,0.44
21,FP_PH,2,0.5,accuracy,0.7
423,FP_PH,2,0.5,f1_score,0.27
825,FP_PH,2,0.5,precision_recall_auc,0.49
123,FP_PH,3,0.5,accuracy,0.71
525,FP_PH,3,0.5,f1_score,0.29
927,FP_PH,3,0.5,precision_recall_auc,0.51
319,FP_PH,4,0.5,accuracy,0.72
721,FP_PH,4,0.5,f1_score,0.23
1123,FP_PH,4,0.5,precision_recall_auc,0.48
22,FP_PH,2,0.7,accuracy,0.69
424,FP_PH,2,0.7,f1_score,0.0
826,FP_PH,2,0.7,precision_recall_auc,0.4
124,FP_PH,3,0.7,accuracy,0.7
526,FP_PH,3,0.7,f1_score,0.0
928,FP_PH,3,0.7,precision_recall_auc,0.42
320,FP_PH,4,0.7,accuracy,0.71
722,FP_PH,4,0.7,f1_score,0.0
1124,FP_PH,4,0.7,precision_recall_auc,0.39
256,FP_PK,1,0.3,accuracy,0.62
658,FP_PK,1,0.3,f1_score,0.22
1060,FP_PK,1,0.3,precision_recall_auc,0.39
57,FP_PK,2,0.3,accuracy,0.62
459,FP_PK,2,0.3,f1_score,0.28
861,FP_PK,2,0.3,precision_recall_auc,0.42
160,FP_PK,3,0.3,accuracy,0.65
562,FP_PK,3,0.3,f1_score,0.32
964,FP_PK,3,0.3,precision_recall_auc,0.44
360,FP_PK,4,0.3,accuracy,0.64
762,FP_PK,4,0.3,f1_score,0.33
1164,FP_PK,4,0.3,precision_recall_auc,0.43
257,FP_PK,1,0.5,accuracy,0.66
659,FP_PK,1,0.5,f1_score,0.01
1061,FP_PK,1,0.5,precision_recall_auc,0.3
58,FP_PK,2,0.5,accuracy,0.67
460,FP_PK,2,0.5,f1_score,0.05
862,FP_PK,2,0.5,precision_recall_auc,0.42
161,FP_PK,3,0.5,accuracy,0.7
563,FP_PK,3,0.5,f1_score,0.1
965,FP_PK,3,0.5,precision_recall_auc,0.46
361,FP_PK,4,0.5,accuracy,0.72
763,FP_PK,4,0.5,f1_score,0.12
1165,FP_PK,4,0.5,precision_recall_auc,0.46
254,FP_SG,1,0.3,accuracy,0.43
656,FP_SG,1,0.3,f1_score,0.59
1058,FP_SG,1,0.3,precision_recall_auc,0.71
54,FP_SG,2,0.3,accuracy,0.46
456,FP_SG,2,0.3,f1_score,0.61
858,FP_SG,2,0.3,precision_recall_auc,0.72
158,FP_SG,3,0.3,accuracy,0.57
560,FP_SG,3,0.3,f1_score,0.41
962,FP_SG,3,0.3,precision_recall_auc,0.53
358,FP_SG,4,0.3,accuracy,0.61
760,FP_SG,4,0.3,f1_score,0.44
1162,FP_SG,4,0.3,precision_recall_auc,0.54
255,FP_SG,1,0.5,accuracy,0.59
657,FP_SG,1,0.5,f1_score,0.02
1059,FP_SG,1,0.5,precision_recall_auc,0.59
55,FP_SG,2,0.5,accuracy,0.57
457,FP_SG,2,0.5,f1_score,0.05
859,FP_SG,2,0.5,precision_recall_auc,0.47
159,FP_SG,3,0.5,accuracy,0.61
561,FP_SG,3,0.5,f1_score,0.11
963,FP_SG,3,0.5,precision_recall_auc,0.46
359,FP_SG,4,0.5,accuracy,0.65
761,FP_SG,4,0.5,f1_score,0.11
1163,FP_SG,4,0.5,precision_recall_auc,0.43
56,FP_SG,2,0.7,accuracy,0.57
458,FP_SG,2,0.7,f1_score,0.0
860,FP_SG,2,0.7,precision_recall_auc,0.22
155,FP_TH,3,0.3,accuracy,0.34
557,FP_TH,3,0.3,f1_score,0.51
