,threshold,lifecycle_segment,accuracy,recall,specificity,f1_score,precision,roc_auc,precision_recall_auc
0,0.3,infrequent_mature_customer,0.91,0.24,0.93,0.16,0.12,0.73,0.19
1,0.5,infrequent_mature_customer,0.96,0.02,1.0,0.03,0.17,0.73,0.11
2,0.3,frequent_mature_customer,0.72,0.74,0.71,0.36,0.24,0.8,0.51
3,0.5,frequent_mature_customer,0.84,0.5,0.88,0.4,0.34,0.8,0.44
4,0.7,frequent_mature_customer,0.89,0.19,0.98,0.27,0.49,0.8,0.38
5,0.3,recent_early_customer,0.99,0.0,1.0,0.0,0.14,0.8,0.08
