,global_entity_id,orders,threshold,performance_metric,value
458,FP_HK,4,0.7,f1_score,0.2
757,FP_HK,4,0.7,precision_recall_auc,0.38
13,FP_KH,1,0.3,accuracy,0.68
312,FP_KH,1,0.3,f1_score,0.1
611,FP_KH,1,0.3,precision_recall_auc,0.33
73,FP_KH,2,0.3,accuracy,0.39
372,FP_KH,2,0.3,f1_score,0.55
671,FP_KH,2,0.3,precision_recall_auc,0.68
232,FP_KH,3,0.3,accuracy,0.56
531,FP_KH,3,0.3,f1_score,0.72
830,FP_KH,3,0.3,precision_recall_auc,0.79
149,FP_KH,4,0.3,accuracy,0.67
448,FP_KH,4,0.3,f1_score,0.81
747,FP_KH,4,0.3,precision_recall_auc,0.85
14,FP_KH,1,0.5,accuracy,0.7
313,FP_KH,1,0.5,f1_score,0.0
612,FP_KH,1,0.5,precision_recall_auc,0.15
74,FP_KH,2,0.5,accuracy,0.43
373,FP_KH,2,0.5,f1_score,0.31
672,FP_KH,2,0.5,precision_recall_auc,0.69
233,FP_KH,3,0.5,accuracy,0.45
532,FP_KH,3,0.5,f1_score,0.58
831,FP_KH,3,0.5,precision_recall_auc,0.72
150,FP_KH,4,0.5,accuracy,0.52
449,FP_KH,4,0.5,f1_score,0.69
748,FP_KH,4,0.5,precision_recall_auc,0.79
15,FP_KH,1,0.7,accuracy,0.7
314,FP_KH,1,0.7,f1_score,0.0
613,FP_KH,1,0.7,precision_recall_auc,0.15
151,FP_KH,4,0.7,accuracy,0.26
450,FP_KH,4,0.7,f1_score,0.06
749,FP_KH,4,0.7,precision_recall_auc,0.62
47,FP_LA,1,0.3,accuracy,0.49
346,FP_LA,1,0.3,f1_score,0.57
645,FP_LA,1,0.3,precision_recall_auc,0.67
124,FP_LA,2,0.3,accuracy,0.62
423,FP_LA,2,0.3,f1_score,0.77
722,FP_LA,2,0.3,precision_recall_auc,0.81
292,FP_LA,3,0.3,accuracy,0.7
591,FP_LA,3,0.3,f1_score,0.82
890,FP_LA,3,0.3,precision_recall_auc,0.86
125,FP_LA,2,0.5,accuracy,0.38
424,FP_LA,2,0.5,f1_score,0.45
723,FP_LA,2,0.5,precision_recall_auc,0.66
293,FP_LA,3,0.5,accuracy,0.55
592,FP_LA,3,0.5,f1_score,0.71
891,FP_LA,3,0.5,precision_recall_auc,0.81
205,FP_LA,4,0.5,accuracy,0.73
504,FP_LA,4,0.5,f1_score,0.84
803,FP_LA,4,0.5,precision_recall_auc,0.89
206,FP_LA,4,0.7,accuracy,0.08
505,FP_LA,4,0.7,f1_score,0.08
804,FP_LA,4,0.7,precision_recall_auc,0.51
29,FP_MM,1,0.3,accuracy,0.54
328,FP_MM,1,0.3,f1_score,0.49
627,FP_MM,1,0.3,precision_recall_auc,0.58
95,FP_MM,2,0.3,accuracy,0.54
394,FP_MM,2,0.3,f1_score,0.7
693,FP_MM,2,0.3,precision_recall_auc,0.77
258,FP_MM,3,0.3,accuracy,0.72
557,FP_MM,3,0.3,f1_score,0.84
856,FP_MM,3,0.3,precision_recall_auc,0.87
176,FP_MM,4,0.3,accuracy,0.83
475,FP_MM,4,0.3,f1_score,0.91
774,FP_MM,4,0.3,precision_recall_auc,0.93
96,FP_MM,2,0.5,accuracy,0.46
395,FP_MM,2,0.5,f1_score,0.4
694,FP_MM,2,0.5,precision_recall_auc,0.64
259,FP_MM,3,0.5,accuracy,0.5
558,FP_MM,3,0.5,f1_score,0.66
857,FP_MM,3,0.5,precision_recall_auc,0.8
177,FP_MM,4,0.5,accuracy,0.76
476,FP_MM,4,0.5,f1_score,0.87
775,FP_MM,4,0.5,precision_recall_auc,0.92
178,FP_MM,4,0.7,accuracy,0.2
477,FP_MM,4,0.7,f1_score,0.18
776,FP_MM,4,0.7,precision_recall_auc,0.86
75,FP_MY,2,0.5,accuracy,0.39
374,FP_MY,2,0.5,f1_score,0.47
673,FP_MY,2,0.5,precision_recall_auc,0.65
234,FP_MY,3,0.5,accuracy,0.61
533,FP_MY,3,0.5,f1_score,0.76
832,FP_MY,3,0.5,precision_recall_auc,0.84
152,FP_MY,4,0.5,accuracy,0.74
451,FP_MY,4,0.5,f1_score,0.85
750,FP_MY,4,0.5,precision_recall_auc,0.88
23,FP_PH,1,0.3,accuracy,0.41
322,FP_PH,1,0.3,f1_score,0.42
621,FP_PH,1,0.3,precision_recall_auc,0.58
88,FP_PH,2,0.3,accuracy,0.57
387,FP_PH,2,0.3,f1_score,0.73
686,FP_PH,2,0.3,precision_recall_auc,0.78
248,FP_PH,3,0.3,accuracy,0.73
547,FP_PH,3,0.3,f1_score,0.84
846,FP_PH,3,0.3,precision_recall_auc,0.87
165,FP_PH,4,0.3,accuracy,0.79
464,FP_PH,4,0.3,f1_score,0.89
763,FP_PH,4,0.3,precision_recall_auc,0.9
24,FP_PH,1,0.5,accuracy,0.75
323,FP_PH,1,0.5,f1_score,0.0
622,FP_PH,1,0.5,precision_recall_auc,0.27
89,FP_PH,2,0.5,accuracy,0.37
388,FP_PH,2,0.5,f1_score,0.43
687,FP_PH,2,0.5,precision_recall_auc,0.63
249,FP_PH,3,0.5,accuracy,0.57
548,FP_PH,3,0.5,f1_score,0.73
847,FP_PH,3,0.5,precision_recall_auc,0.82
166,FP_PH,4,0.5,accuracy,0.74
465,FP_PH,4,0.5,f1_score,0.85
764,FP_PH,4,0.5,precision_recall_auc,0.89
167,FP_PH,4,0.7,accuracy,0.2
466,FP_PH,4,0.7,f1_score,0.1
765,FP_PH,4,0.7,precision_recall_auc,0.67
8,FP_PK,1,0.3,accuracy,0.71
307,FP_PK,1,0.3,f1_score,0.1
606,FP_PK,1,0.3,precision_recall_auc,0.32
64,FP_PK,2,0.3,accuracy,0.25
363,FP_PK,2,0.3,f1_score,0.4
662,FP_PK,2,0.3,precision_recall_auc,0.54
225,FP_PK,3,0.3,accuracy,0.56
524,FP_PK,3,0.3,f1_score,0.72
823,FP_PK,3,0.3,precision_recall_auc,0.79
142,FP_PK,4,0.3,accuracy,0.63
441,FP_PK,4,0.3,f1_score,0.78
740,FP_PK,4,0.3,precision_recall_auc,0.82
65,FP_PK,2,0.5,accuracy,0.56
364,FP_PK,2,0.5,f1_score,0.01
663,FP_PK,2,0.5,precision_recall_auc,0.45
226,FP_PK,3,0.5,accuracy,0.34
525,FP_PK,3,0.5,f1_score,0.41
824,FP_PK,3,0.5,precision_recall_auc,0.64
143,FP_PK,4,0.5,accuracy,0.49
442,FP_PK,4,0.5,f1_score,0.66
741,FP_PK,4,0.5,precision_recall_auc,0.75
5,FP_SG,1,0.3,accuracy,0.48
304,FP_SG,1,0.3,f1_score,0.46
603,FP_SG,1,0.3,precision_recall_auc,0.57
58,FP_SG,2,0.3,accuracy,0.61
357,FP_SG,2,0.3,f1_score,0.76
656,FP_SG,2,0.3,precision_recall_auc,0.81
219,FP_SG,3,0.3,accuracy,0.7
518,FP_SG,3,0.3,f1_score,0.82
817,FP_SG,3,0.3,precision_recall_auc,0.86
59,FP_SG,2,0.5,accuracy,0.32
358,FP_SG,2,0.5,f1_score,0.01
657,FP_SG,2,0.5,precision_recall_auc,0.51
220,FP_SG,3,0.5,accuracy,0.22
519,FP_SG,3,0.5,f1_score,0.36
818,FP_SG,3,0.5,precision_recall_auc,0.65
135,FP_SG,4,0.5,accuracy,0.58
434,FP_SG,4,0.5,f1_score,0.73
733,FP_SG,4,0.5,precision_recall_auc,0.79
136,FP_SG,4,0.7,accuracy,0.32
435,FP_SG,4,0.7,f1_score,0.0
734,FP_SG,4,0.7,precision_recall_auc,0.32
11,FP_TH,1,0.3,accuracy,0.25
310,FP_TH,1,0.3,f1_score,0.4
609,FP_TH,1,0.3,precision_recall_auc,0.62
70,FP_TH,2,0.5,accuracy,0.42
369,FP_TH,2,0.5,f1_score,0.52
668,FP_TH,2,0.5,precision_recall_auc,0.69
229,FP_TH,3,0.5,accuracy,0.6
528,FP_TH,3,0.5,f1_score,0.75
827,FP_TH,3,0.5,precision_recall_auc,0.81
146,FP_TH,4,0.5,accuracy,0.78
445,FP_TH,4,0.5,f1_score,0.87
744,FP_TH,4,0.5,precision_recall_auc,0.89
147,FP_TH,4,0.7,accuracy,0.23
446,FP_TH,4,0.7,f1_score,0.26
745,FP_TH,4,0.7,precision_recall_auc,0.69
35,FP_TW,1,0.3,accuracy,0.52
334,FP_TW,1,0.3,f1_score,0.5
633,FP_TW,1,0.3,precision_recall_auc,0.6
109,FP_TW,2,0.3,accuracy,0.56
408,FP_TW,2,0.3,f1_score,0.72
707,FP_TW,2,0.3,precision_recall_auc,0.78
276,FP_TW,3,0.3,accuracy,0.79
575,FP_TW,3,0.3,f1_score,0.88
874,FP_TW,3,0.3,precision_recall_auc,0.9
190,FP_TW,4,0.3,accuracy,0.81
489,FP_TW,4,0.3,f1_score,0.9
788,FP_TW,4,0.3,precision_recall_auc,0.91
36,FP_TW,1,0.5,accuracy,0.6
335,FP_TW,1,0.5,f1_score,0.0
634,FP_TW,1,0.5,precision_recall_auc,0.7
110,FP_TW,2,0.5,accuracy,0.43
409,FP_TW,2,0.5,f1_score,0.48
708,FP_TW,2,0.5,precision_recall_auc,0.67
277,FP_TW,3,0.5,accuracy,0.65
576,FP_TW,3,0.5,f1_score,0.79
875,FP_TW,3,0.5,precision_recall_auc,0.87
191,FP_TW,4,0.5,accuracy,0.77
490,FP_TW,4,0.5,f1_score,0.87
789,FP_TW,4,0.5,precision_recall_auc,0.9
37,FP_TW,1,0.7,accuracy,0.6
336,FP_TW,1,0.7,f1_score,0.0
635,FP_TW,1,0.7,precision_recall_auc,0.7
192,FP_TW,4,0.7,accuracy,0.17
491,FP_TW,4,0.7,f1_score,0.06
790,FP_TW,4,0.7,precision_recall_auc,0.64
17,FY_CY,1,0.5,accuracy,0.66
316,FY_CY,1,0.5,f1_score,0.07
615,FY_CY,1,0.5,precision_recall_auc,0.37
78,FY_CY,2,0.5,accuracy,0.29
377,FY_CY,2,0.5,f1_score,0.45
676,FY_CY,2,0.5,precision_recall_auc,0.66
237,FY_CY,3,0.5,accuracy,0.74
536,FY_CY,3,0.5,f1_score,0.85
835,FY_CY,3,0.5,precision_recall_auc,0.88
79,FY_CY,2,0.7,accuracy,0.35
378,FY_CY,2,0.7,f1_score,0.19
677,FY_CY,2,0.7,precision_recall_auc,0.72
238,FY_CY,3,0.7,accuracy,0.37
537,FY_CY,3,0.7,f1_score,0.54
836,FY_CY,3,0.7,precision_recall_auc,0.76
154,FY_CY,4,0.7,accuracy,0.33
453,FY_CY,4,0.7,f1_score,0.5
752,FY_CY,4,0.7,precision_recall_auc,0.67
1,HF_EG,1,0.3,accuracy,0.63
300,HF_EG,1,0.3,f1_score,0.19
599,HF_EG,1,0.3,precision_recall_auc,0.43
53,HF_EG,2,0.3,accuracy,0.26
352,HF_EG,2,0.3,f1_score,0.41
651,HF_EG,2,0.3,precision_recall_auc,0.54
215,HF_EG,3,0.3,accuracy,0.66
514,HF_EG,3,0.3,f1_score,0.8
813,HF_EG,3,0.3,precision_recall_auc,0.85
131,HF_EG,4,0.3,accuracy,0.82
430,HF_EG,4,0.3,f1_score,0.9
729,HF_EG,4,0.3,precision_recall_auc,0.92
2,HF_EG,1,0.5,accuracy,0.64
301,HF_EG,1,0.5,f1_score,0.0
600,HF_EG,1,0.5,precision_recall_auc,0.18
54,HF_EG,2,0.5,accuracy,0.61
353,HF_EG,2,0.5,f1_score,0.34
652,HF_EG,2,0.5,precision_recall_auc,0.6
216,HF_EG,3,0.5,accuracy,0.47
515,HF_EG,3,0.5,f1_score,0.64
814,HF_EG,3,0.5,precision_recall_auc,0.79
132,HF_EG,4,0.5,accuracy,0.72
431,HF_EG,4,0.5,f1_score,0.84
730,HF_EG,4,0.5,precision_recall_auc,0.91
55,HF_EG,2,0.7,accuracy,0.57
354,HF_EG,2,0.7,f1_score,0.0
653,HF_EG,2,0.7,precision_recall_auc,0.22
133,HF_EG,4,0.7,accuracy,0.18
432,HF_EG,4,0.7,f1_score,0.08
731,HF_EG,4,0.7,precision_recall_auc,0.93
7,HS_SA,1,0.3,accuracy,0.63
306,HS_SA,1,0.3,f1_score,0.0
605,HS_SA,1,0.3,precision_recall_auc,0.34
62,HS_SA,2,0.3,accuracy,0.37
361,HS_SA,2,0.3,f1_score,0.54
660,HS_SA,2,0.3,precision_recall_auc,0.7
223,HS_SA,3,0.3,accuracy,0.58
522,HS_SA,3,0.3,f1_score,0.73
821,HS_SA,3,0.3,precision_recall_auc,0.8
139,HS_SA,4,0.3,accuracy,0.7
438,HS_SA,4,0.3,f1_score,0.82
737,HS_SA,4,0.3,precision_recall_auc,0.86
63,HS_SA,2,0.5,accuracy,0.32
362,HS_SA,2,0.5,f1_score,0.01
661,HS_SA,2,0.5,precision_recall_auc,0.67
224,HS_SA,3,0.5,accuracy,0.28
523,HS_SA,3,0.5,f1_score,0.43
822,HS_SA,3,0.5,precision_recall_auc,0.65
140,HS_SA,4,0.5,accuracy,0.53
439,HS_SA,4,0.5,f1_score,0.69
738,HS_SA,4,0.5,precision_recall_auc,0.8
141,HS_SA,4,0.7,accuracy,0.26
440,HS_SA,4,0.7,f1_score,0.01
739,HS_SA,4,0.7,precision_recall_auc,0.45
18,IN_AE,1,0.3,accuracy,0.42
317,IN_AE,1,0.3,f1_score,0.39
616,IN_AE,1,0.3,precision_recall_auc,0.58
80,IN_AE,2,0.3,accuracy,0.53
379,IN_AE,2,0.3,f1_score,0.69
678,IN_AE,2,0.3,precision_recall_auc,0.76
81,IN_AE,2,0.5,accuracy,0.33
380,IN_AE,2,0.5,f1_score,0.48
679,IN_AE,2,0.5,precision_recall_auc,0.62
239,IN_AE,3,0.5,accuracy,0.73
538,IN_AE,3,0.5,f1_score,0.84
837,IN_AE,3,0.5,precision_recall_auc,0.9
155,IN_AE,4,0.5,accuracy,0.86
454,IN_AE,4,0.5,f1_score,0.92
